show_id,director_name
44978,Rohit Shetty
52776,Eric Tsang Chi-Wai
52776,Chung Shu-Kai
52776,Patrick Kong
45104,Tom McLoughlin
38883,Eric Lavaine
43212,Kim Kwang-sik
30886,Anil Sharma
42380,Clement Cheng Si-Kit
42380,Derek Kwok Chi-Kin
38138,Jim Kouf
83154,P. Vasu
39806,Marc Forby
50716,Keizo Kusakawa
50716,Atsushi Nakayama
32679,Uli Edel
46911,Yoshihiro Nakamura
48705,Tanit Jitnukul
40690,Matthew Longfellow
69480,Errol Morris
50288,Jeffery Scott Lando
44809,Jim Wynorski
54083,Jean-Luc Godard
56853,Mario Martone
50323,Panumat Deesatta
50323,Zart Tancharoen
50323,Kittiyaporn Klangsurin
45778,George VanBuskirk
58401,Carlo Vanzina
200094,Robin Christian
42355,Hsiao Ya-chuan
50938,Banjong Pisanthanakun
44246,Feo Aladag
47979,Ralf Huettner
46197,Michael Swan
40777,Punit Malhotra
188301,Shojiro Nakazawa
51239,Brenton Spencer
133573,Ryoo Hoon
88278,Harold Trompetero
43099,Sheldon Wilson
49707,Christine Hartmann
29538,Jugal Hansraj
65987,Naoyuki Tomomatsu
54534,Heiward Mak Hei-Yan
41174,Riccardo Grandi
86569,Benjamin Viré
53190,Jeff Zimbalist
53190,Michael Zimbalist
54793,Martin Scorsese
69574,Takashi Ishii
59835,Gerardo Olivares
55641,Son Jae-gon
29776,Shane van Dyke
56928,Keith Bearden
46564,Ned Farr
56840,Felipe Joffily
53352,Ute Wieland
69771,Stephen Manuel
158921,André Klotzel
49057,Gary Wheeler
53778,Mitch Schultz
64786,Saratswadee Wongsomphet
44613,Pradeep Sarkar
54692,Michael Tolajian
270848,David Weaver
49505,Tim Kirkby
51276,Aleksey Fedorchenko
41273,Mathieu Amalric
42323,Abhishek Sharma
74586,Aharon Keshales
74586,Navot Papushado
52475,Philipp Stölzl
810506,Audu Paden
810506,Greg Richardson
56540,Feng Xiaogang
135717,David Blaine
70448,Joshua Grannell
72355,Benoît Jacquot
137502,Toshimasa Suzuki
137502,Hideya Takahashi
137502,Takashi Noto
58107,Shinobu Yoshioka
42917,Colm McCarthy
59578,Florian Baxmeyer
46562,Tiller Russell
57869,Takashi Otsuka
47065,Albert Pyun
62878,Stuart Gillard
41997,Micho Rutare
75930,Keita Amemiya
108993,James D.R. Hickox
27613,Brad Sykes
43615,Fábio Barreto
43615,Marcelo Santiago
50590,Jonathan Segal
54994,Adrian Grenier
275287,Mark Baldo
55797,Jerry Hibbert
43944,Sacha Bennett
42291,David Grubin
50210,Woo Min-ho
68803,Peter Werner
41616,Adam Kane
175987,John Hillcoat
52013,Jeff Malmberg
41156,Jordan Brady
119441,Bob Shirohata
74447,Oren Kaplan
40167,Kang Dae-gyu
47868,Damon Thomas
74518,Olivier Abbou
39845,Taylor Hackford
47068,Philip Martin
59728,Rick Bieber
51823,R. Ellis Frazier
46504,Damien Chazelle
73541,Keith Hartman
41397,Ricki Stern
41397,Anne Sundberg
50119,Danny Lerner
55045,Andrew Shortell
58515,Andrew Ruhemann
58515,Shaun Tan
58602,Jo Baier
48417,Dante Lam Chiu-Yin
278778,Mitchell Klebanoff
278778,Kelly Sandefur
52321,Roberto Garzelli
24246,Michael Shelton
57173,Todor Chapkanov
62368,Kazuya Sasahara
51297,John H. Lee
85441,Mohamed Diab
59112,Bruno Chiche
54694,Thaddeus D. Matula
111039,Jean-Claude Lord
